
   Id ProcessName        CPU StartTime            
   -- -----------        --- ---------            
 9032 cargo         9.984375 04/04/2026 3:13:36 pm
11736 cargo          0.09375 04/04/2026 3:02:43 pm
13092 cargo           0.0625 04/04/2026 3:13:12 pm
13788 cargo        10.859375 04/04/2026 3:11:00 pm
18560 cargo         9.921875 04/04/2026 3:02:43 pm
19904 cargo        11.796875 04/04/2026 3:17:40 pm
20396 cargo        10.421875 04/04/2026 3:13:14 pm
20732 cargo         10.21875 04/04/2026 3:01:49 pm
21108 cargo          0.15625 04/04/2026 3:17:35 pm
21568 cargo         29.40625 04/04/2026 3:00:35 pm
21940 cargo          0.09375 04/04/2026 3:01:48 pm
23040 cargo         0.171875 04/04/2026 3:00:34 pm
23576 cargo         0.078125 04/04/2026 3:10:57 pm
23792 cargo          0.09375 04/04/2026 3:13:34 pm
 8696 rustc        435.71875 04/04/2026 4:33:14 pm
19652 rustc        464.65625 04/04/2026 4:32:08 pm
24400 rustc       521.296875 04/04/2026 4:30:20 pm
27128 rustc       340.234375 04/04/2026 4:36:27 pm


